Row number	Mongo ID	Author	Topic	Stance	Intended Fallacy	Voted Fallacy	Number of Votes	Text
0	9ebb991dce4be8a0	9508224846415f19	Ausländer sollten an Kommunalwahlen teilnehmen dürfen.	contra	No Fallacy	-	0	Wenn man als Deutscher im Ausland wohnt, dann kann man dort in der Regel auch nicht an Wahlen teilnehmen.
1	a6772f09cb18ae95	2e6d3f287bb1f0dd	Der Verfassungsschutz sollte abgeschafft werden.	contra	Ad Hominem	-	1	Verfassung ist die Grundlage unserer Gesellschaft, wenn wir die nicht schützen, schaffen wir uns selber ab.
2	6a9e8aad6ddaa46a	f26f699a328df918	Es sollte mehr Videoüberwachung im öffentlichen Raum geben.	contra	Appeal to Emotion	-	2	Wenn die Videoüberwachung weiter so zunimmt, dauert es nicht mehr lange und wir leben in einem Überwachungsstaat, in dem man immer beobachtet ist.
3	f951d63065e18637	572274d0c1d0db7e	Man lebt besser, wenn man vegan lebt.	contra	Red Herring	-	1	Gänzlich ohne tierische Produkte zu leben ist möglich. Mittlerweile gibt es viele tierfreie Ersatzprodukte, die die Gesundheuit gewährleisten und recht günstig erhältlich sind.
4	c83860738fe3dd9e	e8fe8e4db150d978	Es ist richtig, dass Hartz-IV-Empfängern ihre Leistungen gekürzt werden, wenn sie ein Job-Angebot ablehnen.	contra	No Fallacy	No Fallacy	5	Jeder Mensch sollte selbst über seine Zeit verfügen dürfen ohne in Existenznot zu geraten.
5	11a9b8b4d7775ab9	353ff32a3d673171	Es ist besser, Bücher zu lesen statt Filme zu schauen.	pro	No Fallacy	-	1	Das Lesen von Büchern kann einem helfen, seine Sprachfähigkeiten, insbesondere seine Rechtschreibefähigkeiten zu verbessern. Das können Filme in diesem Maß nicht gewährleisten.
6	c8425b02915f9977	87a2d5550c1ac4de	Die Erbschaftssteuer sollte erhöht werden.	contra	Ad Hominem	-	0	Ich bezahle keine Steuern, um das letzte Hab und Gut meiner Familie zu empfangen
7	784cb510456aa264	a70957ad03feacd2	Die Agenda 2010 war gut für Deutschland.	contra	No Fallacy	No Fallacy	4	Sie hat nur Leiharbeit und Ein-Euro-Jobs gebracht. Für den niedrig Verdiener hat sie nichts gebracht.
8	47cc99f48f390928	ce49314dcc711a8e	Kinder sollten früh mit Computern und Smartphones umgehen lernen.	contra	Ad Hominem	Ad Hominem	11	Und du gehörst wahrscheinlich zu den Leuten, die den ganzen Tag nicht mehr wegkommen von ihrem technischen Schnickschnack. Auch nicht gerade ein Vorbild für Kinder.
9	f301cd1dfe2f38ac	8ab9d6b227ec171c	Es ist richtig, dass Hartz-IV-Empfängern ihre Leistungen gekürzt werden, wenn sie ein Job-Angebot ablehnen.	contra	Red Herring	-	0	bei der Kürzung von HIV-Leistungen  wird einer gesamten Bevölkerungsgruppe die Wirtschaftlichkeit eingeschnitten.
10	5b0bda146ee17750	db11b888ef3b4a1a	Gentechnik ist etwas Gutes.	pro	Appeal to Emotion	Appeal to Emotion	20	Mit Gentechnik kann man Leben retten, der Fortschritt darf nicht länger durch überholte Moralvorstellungen aufgehalten werden.
11	5795dfb7c73bf586	5b9c7951c55523c9	Es sollte eine Steuer auf Plastikverpackungen eingeführt werden.	pro	Ad Hominem	Ad Hominem	4	Wenn Sie gegen eine Steuer von Plastikverpackungen sind, haben Sie kein Herz für die Umwelt. Sie wären ein Umweltsünder!
12	c7516273dc6cfb55	9d130e8c9dad679c	Es sollte eine Steuer auf Plastikverpackungen eingeführt werden.	pro	Appeal to Emotion	-	1	Delphine, Hummer, Singvögel und Nagetiere. Sie alle sterben einen qualvollen, ewig dauernden Erstickungstod, ohne  irgendetwas für den Eigennutz und die Ignoranz der Menschheit zu können. Eine Steuer kommt hier gerade richtig.
13	e38b4e67cf2da51d	99612762c618e24e	Die Erbschaftssteuer sollte erhöht werden.	contra	Hasty Generalization	Hasty Generalization	6	Mein Onkel hat eine kleine Firma geerbt. Hätte er Erbschaftssteuer bezahlen müssen, dann hätte er die Firma dichtmachen müssen, mitsamt allen Arbeitsplätzen.
14	5e424bb7f4fb41c6	3d18c43a1ce4e73b	Der Verfassungsschutz sollte abgeschafft werden.	contra	No Fallacy	-	0	Der Verfassungsschutz trägt zur Sicherheit der Gesellschaft bei.
15	c22e5e6e8a13cf4b	7d1d361060d43e06	Es ist gut, dass klassische Musik mit Steuergeld gefördert wird.	contra	Red Herring	-	2	Moderne Kunst sollte doch nicht mit öffentlichen Geldern gefördert werden. Man kann ja bald nicht mehr durch die Stadt laufen wegen all dieser "modernen" und "innovativen" Kunstwerke.
